State,DistrictID,DistrictName,UrbanHouseholds,UrbanElectricity,UrbanKerosene,UrbanSolar,UrbanOil,UrbanOther,UrbanNoLight,RuralHouseholds,RuralElectricity,RuralKerosene,RuralSolar,RuralOil,RuralOther,RuralNoLight
Haryana,15878, Sonepat ,"89,372 ","86,642 ","1,934 ",76 ,109 ,311 ,300 ,"180,286 ","166,412 ","12,050 ",137 ,355 ,588 ,744 
Haryana,15879, Yamuna Nagar ,"95,154 ","93,032 ","1,544 ",96 ,50 ,221 ,211 ,"133,009 ","124,471 ","7,500 ",64 ,188 ,366 ,420 
Haryana,15879, Yamuna Nagar ,"95,154 ","93,032 ","1,544 ",96 ,50 ,221 ,211 ,"133,009 ","124,471 ","7,500 ",64 ,188 ,366 ,420 
Himachal Pradesh,15881, Chamba ,"7,398 ","7,329 ",51 ,3 ,12 ,1 ,2 ,"94,574 ","88,753 ","5,488 ",107 ,119 ,33 ,74 
Himachal Pradesh,15882, Hamirpur ,"7,175 ","7,086 ",87 ,0 ,1 ,0 ,1 ,"97,893 ","97,034 ",708 ,44 ,27 ,21 ,59 
Himachal Pradesh,15882, Hamirpur ,"37,587 ","24,729 ","12,463 ",59 ,138 ,70 ,128 ,"171,971 ","31,200 ","139,263 ",801 ,408 ,231 ,68 
Himachal Pradesh,15883, Kangra ,"19,988 ","19,579 ",353 ,22 ,17 ,6 ,11 ,"316,419 ","310,502 ","5,175 ",199 ,156 ,72 ,315 
Himachal Pradesh,15884, Kinnaur ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"19,535 ","17,865 ","1,442 ",111 ,20 ,59 ,38 
Himachal Pradesh,15885, Kullu ,"11,044 ","10,911 ",117 ,1 ,1 ,4 ,10 ,"84,501 ","80,411 ","3,826 ",44 ,87 ,49 ,84 
Himachal Pradesh,15887, Mandi ,"15,943 ","15,743 ",138 ,2 ,37 ,20 ,3 ,"204,051 ","198,748 ","4,510 ",129 ,151 ,173 ,340 
Himachal Pradesh,15888, Shimla ,"49,906 ","49,136 ",608 ,21 ,29 ,72 ,40 ,"130,864 ","123,618 ","6,099 ",128 ,200 ,455 ,364 
Himachal Pradesh,15889, Sirmaur ,"12,773 ","12,626 ",127 ,9 ,7 ,1 ,3 ,"84,317 ","78,883 ","5,021 ",75 ,116 ,65 ,157 
Himachal Pradesh,15890, Solan ,"26,116 ","25,359 ",701 ,6 ,3 ,13 ,34 ,"97,237 ","94,507 ","2,388 ",56 ,70 ,91 ,125 
Himachal Pradesh,15891, Una ,"9,908 ","9,385 ",459 ,5 ,43 ,9 ,7 ,"99,791 ","96,544 ","2,822 ",87 ,58 ,112 ,168 
Jammu and Kashmir,15893, Bagdam ,"13,136 ","12,862 ",227 ,9 ,10 ,6 ,22 ,"86,083 ","77,328 ","5,752 ","1,394 ",87 ,"1,144 ",378 
Jammu and Kashmir,15895, Doda ,"1,945 ","1,924 ",18 ,0 ,1 ,0 ,2 ,"52,261 ","32,319 ","14,558 ",196 ,183 ,"2,125 ","2,880 "
Jammu and Kashmir,15896, Jammu ,"146,165 ","144,504 ","1,253 ",109 ,41 ,61 ,197 ,"155,851 ","150,235 ","4,424 ",247 ,62 ,370 ,513 
Jammu and Kashmir,15897, Kargil ,"2,770 ","2,756 ",11 ,1 ,2 ,0 ,0 ,"15,442 ","13,068 ",514 ,"1,810 ",8 ,8 ,34 
Jammu and Kashmir,15898, Kathua ,"17,553 ","17,400 ",118 ,0 ,28 ,2 ,5 ,"100,283 ","92,022 ","7,252 ",93 ,62 ,74 ,780 
Jammu and Kashmir,15900, Ladakh (Leh) ,"6,187 ","6,120 ",26 ,22 ,1 ,7 ,11 ,"14,590 ","11,130 ",708 ,"2,623 ",15 ,45 ,69 
Jammu and Kashmir,15901, Pulwama ,"2,461 ","2,455 ",3 ,0 ,0 ,3 ,0 ,"39,486 ","32,827 ","4,744 ",356 ,76 ,"1,050 ",433 
Jammu and Kashmir,15902, Punch ,"7,208 ","7,043 ",45 ,2 ,8 ,1 ,109 ,"81,670 ","55,857 ","19,213 ",234 ,207 ,"1,689 ","4,470 "
Jammu and Kashmir,15903, Rajauri ,"6,817 ","6,684 ",97 ,14 ,0 ,2 ,20 ,"117,183 ","89,328 ","21,528 ",387 ,313 ,"1,181 ","4,446 "
Jammu and Kashmir,15904, Srinagar ,"164,758 ","162,752 ",548 ,195 ,42 ,946 ,275 ,"2,690 ","2,651 ",14 ,0 ,0 ,2 ,23 
Jammu and Kashmir,15905, Udhampur ,"16,458 ","16,207 ",203 ,9 ,7 ,18 ,14 ,"77,104 ","57,792 ","14,080 ",156 ,195 ,"2,753 ","2,128 "
Jharkhand,15906, Bokaro ,"187,417 ","164,510 ","21,643 ",466 ,342 ,351 ,105 ,"204,021 ","110,216 ","90,896 ","1,802 ",970 ,96 ,41 
Jharkhand,15909, Dhanbad ,"292,022 ","273,336 ","16,552 ","1,062 ",325 ,391 ,356 ,"207,157 ","153,837 ","51,985 ",627 ,428 ,113 ,167 
Jharkhand,15910, Dumka ,"16,999 ","13,883 ","3,043 ",33 ,26 ,3 ,11 ,"255,926 ","48,227 ","205,543 ","1,022 ",664 ,321 ,149 
Jharkhand,15911, Garhwa ,"13,213 ","8,346 ","4,822 ",22 ,10 ,4 ,9 ,"241,497 ","21,027 ","218,094 ","1,951 ",290 ,99 ,36 
Jharkhand,15912, Giridih ,"35,201 ","29,559 ","5,365 ",63 ,92 ,35 ,87 ,"356,247 ","95,872 ","256,334 ","2,763 ",959 ,215 ,104 
Jharkhand,15913, Godda ,"11,518 ","8,981 ","2,462 ",27 ,41 ,4 ,3 ,"239,500 ","34,249 ","202,756 ","1,334 ",685 ,424 ,52 
Jharkhand,15914, Gumla ,"12,079 ","9,461 ","2,532 ",72 ,6 ,4 ,4 ,"176,770 ","22,226 ","152,763 ",934 ,753 ,33 ,61 
Jharkhand,15915, Hazaribag ,"48,356 ","44,193 ","3,900 ",104 ,85 ,17 ,57 ,"252,871 ","132,695 ","118,263 ",907 ,648 ,254 ,104 
Jharkhand,15916, Jamtara ,"14,563 ","12,104 ","2,398 ",15 ,26 ,3 ,17 ,"135,540 ","37,315 ","97,563 ",301 ,122 ,199 ,40 
Jharkhand,15917, Koderma ,"23,853 ","20,357 ","3,410 ",14 ,56 ,8 ,8 ,"90,207 ","41,961 ","47,338 ",326 ,330 ,124 ,128 
Jharkhand,15918, Latehar ,"9,783 ","6,745 ","2,883 ",18 ,14 ,46 ,77 ,"122,902 ","31,449 ","88,211 ","2,480 ",455 ,193 ,114 
Jharkhand,15919, Lohardaga ,"11,007 ","8,760 ","2,216 ",5 ,17 ,6 ,3 ,"80,295 ","20,009 ","59,659 ",234 ,336 ,44 ,13 
Jharkhand,15920, Pakur ,"13,216 ","8,970 ","4,164 ",6 ,11 ,2 ,63 ,"167,362 ","22,444 ","144,011 ",545 ,234 ,106 ,22 
Jharkhand,15921, Palamu ,"39,380 ","27,083 ","11,906 ",66 ,46 ,102 ,177 ,"316,135 ","41,155 ","272,061 ","1,485 ",944 ,260 ,230 
Jharkhand,15924, Ranchi ,"234,110 ","211,492 ","21,229 ",408 ,508 ,264 ,209 ,"322,679 ","139,416 ","180,372 ","1,336 ",983 ,253 ,319 
Jharkhand,15925, Sahibganj ,"30,708 ","18,364 ","12,180 ",71 ,46 ,35 ,12 ,"193,809 ","16,515 ","175,523 ",972 ,553 ,177 ,69 
Jharkhand,15926, Saraikela Kharsawan ,"52,111 ","45,714 ","6,175 ",57 ,97 ,32 ,36 ,"165,883 ","92,417 ","69,244 ","3,988 ",152 ,62 ,20 
Jharkhand,15927, Simdega ,"7,923 ","5,345 ","2,520 ",36 ,13 ,7 ,2 ,"108,683 ","11,520 ","96,333 ",692 ,72 ,47 ,19 
Karnataka,15928, Bagalkot ,"116,631 ","105,542 ","9,838 ",185 ,368 ,53 ,645 ,"238,746 ","195,847 ","40,039 ",442 ,748 ,93 ,"1,577 "
Karnataka,15929, Bangalore Rural ,"62,347 ","60,309 ","1,802 ",44 ,50 ,32 ,110 ,"162,398 ","153,944 ","7,567 ",146 ,253 ,82 ,406 
Karnataka,15930, Bangalore Urban ,"2,169,428 ","2,131,809 ","28,176 ","2,420 ","1,776 ","1,764 ","3,483 ","207,628 ","198,822 ","7,312 ",226 ,391 ,147 ,730 
Karnataka,15931, Belgaum ,"255,756 ","243,692 ","10,333 ",289 ,195 ,179 ,"1,068 ","708,069 ","565,135 ","134,036 ","1,563 ","1,278 ",506 ,"5,551 "
Karnataka,15932, Bellary ,"190,321 ","180,935 ","8,241 ",155 ,198 ,89 ,703 ,"291,383 ","259,439 ","28,851 ",447 ,347 ,705 ,"1,594 "
Karnataka,15933, Bidar ,"76,141 ","70,167 ","5,166 ",121 ,94 ,226 ,367 ,"237,380 ","201,272 ","32,741 ",418 ,470 ,271 ,"2,208 "
Karnataka,15934, Bijapur ,"5,858 ","3,864 ","1,918 ",14 ,13 ,0 ,49 ,"44,544 ","8,652 ","31,436 ","1,959 ",585 ,972 ,940 
Karnataka,15934, Bijapur ,"97,092 ","89,413 ","6,674 ",115 ,115 ,50 ,725 ,"307,984 ","237,181 ","67,049 ",886 ,696 ,275 ,"1,897 "
Karnataka,15935, Chamrajnagar ,"40,450 ","37,657 ","2,414 ",43 ,29 ,29 ,278 ,"203,748 ","174,499 ","27,423 ",577 ,200 ,154 ,895 
Karnataka,15935, Chamrajnagar ,"40,450 ","37,657 ","2,414 ",43 ,29 ,29 ,278 ,"203,748 ","174,499 ","27,423 ",577 ,200 ,154 ,895 
Karnataka,15936, Chikmagalur ,"56,839 ","54,768 ","1,745 ",60 ,137 ,29 ,100 ,"215,334 ","183,737 ","28,782 ","1,022 ",521 ,122 ,"1,150 "
Karnataka,15937, Chitradurga ,"72,124 ","66,859 ","4,545 ",187 ,47 ,24 ,462 ,"282,019 ","240,398 ","37,047 ","1,780 ",499 ,149 ,"2,146 "
Karnataka,15938, Dakshin Kannad ,"204,485 ","199,333 ","4,593 ",126 ,82 ,125 ,226 ,"220,806 ","186,967 ","31,202 ","1,588 ",293 ,126 ,630 
Karnataka,15939, Davanagere ,"131,911 ","126,748 ","4,659 ",136 ,75 ,32 ,261 ,"272,929 ","245,923 ","24,638 ",442 ,461 ,118 ,"1,347 "
Karnataka,15940, Dharwad ,"214,094 ","204,508 ","8,668 ",199 ,162 ,114 ,443 ,"157,960 ","143,454 ","13,549 ",215 ,271 ,64 ,407 
Karnataka,15941, Gadag ,"77,803 ","71,259 ","6,175 ",126 ,92 ,14 ,137 ,"137,799 ","126,805 ","10,061 ",244 ,201 ,74 ,414 
Karnataka,15942, Gulbarga ,"153,714 ","145,163 ","7,604 ",178 ,115 ,61 ,593 ,"311,531 ","259,604 ","48,493 ",622 ,693 ,171 ,"1,948 "
Karnataka,15943, Hassan ,"89,381 ","87,431 ","1,748 ",42 ,45 ,7 ,108 ,"339,911 ","313,271 ","24,660 ",332 ,366 ,91 ,"1,191 "
Karnataka,15944, Haveri ,"71,275 ","66,589 ","4,301 ",100 ,71 ,33 ,181 ,"254,181 ","229,348 ","23,186 ",292 ,279 ,67 ,"1,009 "
Karnataka,15945, Kodagu ,"19,794 ","19,180 ",550 ,17 ,6 ,5 ,36 ,"118,509 ","94,751 ","21,483 ","1,099 ",205 ,153 ,818 
Karnataka,15946, Kolar ,"104,745 ","100,518 ","3,629 ",168 ,64 ,47 ,319 ,"226,245 ","208,976 ","15,538 ",350 ,307 ,223 ,851 
Karnataka,15947, Koppal ,"46,179 ","42,007 ","3,741 ",54 ,53 ,27 ,297 ,"213,217 ","181,159 ","29,480 ",334 ,476 ,188 ,"1,580 "
Karnataka,15948, Mandya ,"72,529 ","69,532 ","2,694 ",49 ,46 ,59 ,149 ,"354,049 ","321,501 ","30,786 ",359 ,306 ,111 ,986 
Karnataka,15949, Mysore ,"286,767 ","280,373 ","5,591 ",182 ,119 ,151 ,351 ,"401,655 ","360,495 ","38,156 ",584 ,469 ,207 ,"1,744 "
Karnataka,15950, Raichur ,"95,063 ","87,288 ","6,812 ",159 ,140 ,47 ,617 ,"264,274 ","227,259 ","33,197 ",942 ,591 ,196 ,"2,089 "
Karnataka,15951, Shimoga ,"145,079 ","139,351 ","5,035 ",212 ,178 ,64 ,239 ,"257,060 ","224,484 ","30,246 ",541 ,558 ,153 ,"1,078 "
Karnataka,15952, Tumkur ,"140,509 ","134,648 ","5,172 ",120 ,88 ,125 ,356 ,"495,885 ","428,121 ","63,556 ",590 ,992 ,293 ,"2,333 "
Karnataka,15953, Udupi ,"71,765 ","69,061 ","2,321 ",90 ,167 ,29 ,97 ,"174,548 ","155,753 ","17,322 ",843 ,226 ,84 ,320 
Karnataka,15954, Uttar Kannand ,"93,109 ","89,171 ","3,607 ",109 ,72 ,21 ,129 ,"226,803 ","201,620 ","23,147 ","1,142 ",256 ,163 ,475 
Kerala,15955, Alappuzha ,"282,426 ","273,695 ","8,113 ",203 ,180 ,131 ,104 ,"245,849 ","234,218 ","10,828 ",350 ,165 ,157 ,131 
Kerala,15956, Ernakulam ,"535,427 ","526,096 ","8,518 ",236 ,229 ,193 ,155 ,"256,310 ","245,191 ","10,317 ",439 ,185 ,129 ,49 
Kerala,15957, Idukki ,"12,327 ","12,123 ",184 ,8 ,7 ,1 ,4 ,"264,649 ","232,721 ","26,965 ","4,162 ",297 ,307 ,197 
Kerala,15958, Kannur ,"344,363 ","336,051 ","7,577 ",176 ,314 ,153 ,92 ,"198,846 ","175,116 ","22,865 ",362 ,208 ,255 ,40 
Kerala,15959, Kasaragod ,"101,793 ","97,640 ","3,865 ",72 ,101 ,43 ,72 ,"165,969 ","140,030 ","24,649 ",722 ,279 ,151 ,138 
Kerala,15960, Kollam ,"289,599 ","281,425 ","7,436 ",254 ,240 ,135 ,109 ,"373,677 ","349,342 ","22,887 ",636 ,462 ,175 ,175 
Kerala,15961, Kottayam ,"137,746 ","135,268 ","2,156 ",136 ,85 ,53 ,48 ,"342,707 ","328,771 ","12,918 ",492 ,252 ,198 ,76 
Kerala,15962, Kozhikode ,"451,597 ","431,577 ","18,996 ",409 ,362 ,166 ,87 ,"232,228 ","210,083 ","21,470 ",306 ,230 ,104 ,35 
Kerala,15963, Malappuram ,"337,084 ","323,273 ","13,127 ",208 ,273 ,121 ,82 ,"437,511 ","406,846 ","29,476 ",507 ,410 ,176 ,96 
Kerala,15964, Palakkad ,"151,969 ","147,441 ","4,253 ",90 ,82 ,52 ,51 ,"476,318 ","440,142 ","34,565 ",752 ,419 ,154 ,286 
Kerala,15965, Pattanamtitta ,"34,579 ","33,302 ","1,194 ",27 ,23 ,16 ,17 ,"285,389 ","268,994 ","15,362 ",473 ,284 ,185 ,91 
Kerala,15966, Thiruvananthapuram ,"438,167 ","423,464 ","13,545 ",326 ,400 ,243 ,189 ,"390,607 ","360,408 ","28,180 ",936 ,570 ,267 ,246 
Kerala,15967, Thrissur ,"496,902 ","485,252 ","10,596 ",375 ,283 ,210 ,186 ,"246,928 ","236,373 ","9,826 ",321 ,172 ,111 ,125 
Kerala,15968, Wayanad ,"6,717 ","5,962 ",728 ,6 ,19 ,2 ,0 ,"178,686 ","143,902 ","33,917 ",539 ,223 ,78 ,27 
Madhya Pradesh,15972, Balaghat ,"53,089 ","47,549 ","5,274 ",20 ,183 ,18 ,45 ,"341,221 ","230,378 ","109,048 ",623 ,598 ,218 ,356 
Madhya Pradesh,15973, Barwani ,"37,472 ","34,413 ","2,897 ",21 ,36 ,15 ,90 ,"205,589 ","146,726 ","56,235 ",899 ,726 ,171 ,832 
Madhya Pradesh,15974, Betul ,"66,196 ","62,029 ","3,871 ",22 ,123 ,31 ,120 ,"260,878 ","168,945 ","85,080 ","5,580 ",533 ,210 ,530 
Madhya Pradesh,15975, Bhind ,"70,611 ","56,041 ","13,806 ",111 ,330 ,129 ,194 ,"227,645 ","51,778 ","173,991 ",473 ,831 ,292 ,280 
Madhya Pradesh,15976, Bhopal ,"396,666 ","384,871 ","9,554 ",434 ,662 ,405 ,740 ,"91,084 ","68,041 ","22,137 ",149 ,355 ,269 ,133 
Madhya Pradesh,15977, Burhanpur ,"47,714 ","45,114 ","2,281 ",16 ,55 ,37 ,211 ,"96,440 ","67,306 ","28,206 ",85 ,267 ,55 ,521 
Madhya Pradesh,15978, Chhatarpur ,"71,277 ","58,827 ","11,763 ",77 ,245 ,172 ,193 ,"299,608 ","117,229 ","180,345 ",743 ,915 ,123 ,253 
Madhya Pradesh,15979, Chhindwara ,"107,543 ","99,025 ","8,001 ",83 ,171 ,60 ,203 ,"330,846 ","245,850 ","82,654 ",589 ,592 ,333 ,828 
Madhya Pradesh,15980, Damoh ,"50,769 ","45,111 ","5,338 ",61 ,151 ,32 ,76 ,"250,346 ","142,620 ","106,550 ",373 ,258 ,194 ,351 
Madhya Pradesh,15981, Datia ,"33,069 ","29,643 ","2,998 ",17 ,52 ,178 ,181 ,"126,467 ","68,053 ","57,179 ",171 ,788 ,44 ,232 
Madhya Pradesh,15982, Dewas ,"83,933 ","81,430 ","2,140 ",73 ,59 ,44 ,187 ,"220,809 ","189,027 ","30,436 ",285 ,344 ,279 ,438 
Madhya Pradesh,15983, Dhar ,"79,969 ","76,291 ","3,012 ",349 ,94 ,38 ,185 ,"339,844 ","273,348 ","64,003 ",525 ,619 ,244 ,"1,105 "
Madhya Pradesh,15984, Dindori ,"7,191 ","6,050 ","1,099 ",19 ,11 ,11 ,1 ,"161,808 ","56,322 ","101,572 ","3,531 ",198 ,34 ,151 
Madhya Pradesh,15985, East Nimar ,"48,946 ","45,765 ","2,848 ",30 ,87 ,81 ,135 ,"216,711 ","156,945 ","57,758 ",211 ,410 ,203 ,"1,184 "
Madhya Pradesh,15986, Guna ,"57,666 ","50,317 ","6,616 ",63 ,186 ,180 ,304 ,"183,767 ","93,931 ","88,010 ",452 ,803 ,192 ,379 
Madhya Pradesh,15987, Gwalior ,"225,375 ","218,306 ","5,829 ",151 ,315 ,235 ,539 ,"144,130 ","88,553 ","52,754 ","1,330 ",621 ,285 ,587 
Madhya Pradesh,15988, Harda ,"22,559 ","21,421 ","1,051 ",16 ,48 ,10 ,13 ,"88,422 ","73,645 ","14,239 ",140 ,161 ,17 ,220 
Madhya Pradesh,15989, Hoshangabad ,"78,336 ","74,038 ","3,822 ",69 ,216 ,90 ,101 ,"174,226 ","124,038 ","48,674 ",646 ,403 ,143 ,322 
Madhya Pradesh,15990, Indore ,"462,075 ","453,443 ","6,009 ",529 ,323 ,587 ,"1,184 ","153,259 ","140,133 ","12,167 ",292 ,221 ,112 ,334 
Madhya Pradesh,15991, Jabalpur ,"279,006 ","265,039 ","12,100 ",249 ,422 ,406 ,790 ,"236,023 ","186,984 ","47,841 ",277 ,332 ,119 ,470 
Madhya Pradesh,15992, Jhabua ,"17,259 ","16,408 ",787 ,2 ,8 ,17 ,37 ,"190,362 ","109,003 ","80,111 ",135 ,447 ,57 ,609 
Madhya Pradesh,15993, Katni ,"54,787 ","49,333 ","5,026 ",34 ,108 ,27 ,259 ,"234,239 ","123,083 ","110,205 ",322 ,235 ,124 ,270 
Madhya Pradesh,15994, Mandla ,"28,298 ","25,322 ","2,845 ",30 ,61 ,10 ,30 ,"220,889 ","118,481 ","100,332 ","1,459 ",328 ,143 ,146 
Madhya Pradesh,15995, Mandsaur ,"55,405 ","53,321 ","1,906 ",36 ,55 ,18 ,69 ,"229,006 ","186,564 ","40,805 ",241 ,440 ,241 ,715 
Madhya Pradesh,15996, Morena ,"76,294 ","68,066 ","7,495 ",66 ,173 ,156 ,338 ,"286,015 ","63,420 ","219,882 ",708 ,834 ,410 ,761 
Madhya Pradesh,15997, Narsinghpur ,"42,622 ","37,736 ","4,511 ",43 ,77 ,92 ,163 ,"204,994 ","134,408 ","68,250 ",829 ,548 ,330 ,629 
Madhya Pradesh,15998, Neemuch ,"45,698 ","43,504 ","1,931 ",31 ,41 ,60 ,131 ,"129,968 ","101,754 ","27,335 ",121 ,203 ,110 ,445 
Madhya Pradesh,15999, Panna ,"24,619 ","19,153 ","5,377 ",42 ,21 ,7 ,19 ,"209,035 ","56,944 ","150,914 ",627 ,348 ,73 ,129 
Madhya Pradesh,16000, Raisen ,"59,594 ","54,103 ","5,230 ",58 ,98 ,30 ,75 ,"214,616 ","140,270 ","71,384 ","1,673 ",594 ,212 ,483 
Madhya Pradesh,16001, Rajgarh ,"52,053 ","47,919 ","3,863 ",45 ,84 ,58 ,84 ,"289,795 ","183,211 ","104,304 ",672 ,"1,244 ",129 ,235 
Madhya Pradesh,16002, Ratlam ,"82,053 ","78,779 ","2,782 ",44 ,80 ,211 ,157 ,"211,063 ","135,046 ","73,813 ",292 ,606 ,164 ,"1,142 "
Madhya Pradesh,16003, Rewa ,"72,970 ","60,767 ","11,667 ",134 ,107 ,127 ,168 ,"467,403 ","190,365 ","274,461 ","1,273 ",611 ,257 ,436 
Madhya Pradesh,16004, Sagar ,"132,551 ","119,649 ","11,981 ",100 ,237 ,256 ,328 ,"376,804 ","246,845 ","127,606 ",546 ,684 ,300 ,823 
Madhya Pradesh,16005, Satna ,"88,327 ","77,051 ","10,742 ",87 ,150 ,92 ,205 ,"390,426 ","217,651 ","171,073 ",685 ,536 ,126 ,355 
Madhya Pradesh,16006, Sehore ,"44,651 ","42,304 ","2,090 ",20 ,71 ,44 ,122 ,"206,935 ","169,834 ","36,222 ",179 ,274 ,123 ,303 
Madhya Pradesh,16007, Seoni ,"35,292 ","32,510 ","2,698 ",31 ,24 ,4 ,25 ,"277,982 ","196,185 ","80,467 ",207 ,644 ,114 ,365 
Madhya Pradesh,16008, Shahdol ,"44,093 ","37,758 ","6,063 ",31 ,68 ,27 ,146 ,"204,690 ","75,426 ","128,114 ",355 ,313 ,142 ,340 
Madhya Pradesh,16009, Shajapur ,"54,628 ","51,495 ","2,896 ",22 ,125 ,45 ,45 ,"243,638 ","181,240 ","61,181 ",438 ,256 ,90 ,433 
Madhya Pradesh,16010, Sheopur ,"20,101 ","18,149 ","1,795 ",11 ,11 ,102 ,33 ,"124,647 ","56,621 ","65,465 ","1,632 ",176 ,244 ,509 
Madhya Pradesh,16011, Shivpuri ,"53,321 ","48,921 ","3,515 ",50 ,127 ,582 ,126 ,"303,041 ","99,207 ","200,198 ",641 ,"1,244 ","1,355 ",396 
Madhya Pradesh,16012, Sidhi ,"17,844 ","15,674 ","2,092 ",16 ,30 ,17 ,15 ,"220,630 ","86,554 ","131,521 ",648 ,521 ,503 ,883 
Madhya Pradesh,16013, Tikamgarh ,"45,462 ","34,150 ","11,063 ",79 ,108 ,31 ,31 ,"253,752 ","98,575 ","153,473 ",497 ,768 ,143 ,296 
Madhya Pradesh,16014, Ujjain ,"146,990 ","142,213 ","3,919 ",100 ,176 ,306 ,276 ,"237,288 ","181,166 ","54,503 ",288 ,393 ,308 ,630 
Madhya Pradesh,16015, Umaria ,"22,981 ","18,455 ","4,447 ",20 ,31 ,17 ,11 ,"121,448 ","49,520 ","70,972 ",175 ,246 ,163 ,372 
Madhya Pradesh,16016, Vidisha ,"65,543 ","59,038 ","5,908 ",66 ,131 ,92 ,308 ,"231,876 ","122,472 ","107,621 ",266 ,912 ,245 ,360 
Madhya Pradesh,16017, West Nimar ,"56,975 ","53,841 ","2,745 ",46 ,117 ,57 ,169 ,"309,603 ","250,450 ","56,983 ",315 ,438 ,293 ,"1,124 "
Maharashtra,16018, Ahmednagar ,"184,030 ","174,637 ","7,816 ",203 ,79 ,270 ,"1,025 ","717,718 ","502,955 ","199,058 ","1,542 ","1,624 ","2,097 ","10,442 "
Maharashtra,16019, Akola ,"143,383 ","130,980 ","10,115 ",158 ,238 ,695 ,"1,197 ","247,752 ","183,510 ","59,873 ",336 ,410 ,"1,040 ","2,583 "
Maharashtra,16020, Amravati ,"212,883 ","197,793 ","11,749 ",199 ,186 ,737 ,"2,219 ","424,563 ","314,699 ","100,732 ","2,307 ","1,021 ","1,661 ","4,143 "
Maharashtra,16022, Bhandara ,"52,474 ","49,762 ","2,265 ",42 ,31 ,35 ,339 ,"223,299 ","177,263 ","42,394 ",273 ,619 ,284 ,"2,466 "
Maharashtra,16023, Bid ,"98,959 ","91,830 ","5,019 ",126 ,158 ,601 ,"1,225 ","446,114 ","310,222 ","123,449 ",832 ,"1,368 ","3,625 ","6,618 "
Maharashtra,16024, Buldana ,"107,784 ","96,189 ","10,132 ",104 ,125 ,379 ,855 ,"445,247 ","326,847 ","109,206 ",953 ,"1,315 ","1,564 ","5,362 "
Maharashtra,16025, Chandrapur ,"176,969 ","164,600 ","10,239 ",115 ,199 ,221 ,"1,595 ","352,643 ","254,066 ","92,448 ",457 ,658 ,480 ,"4,534 "
Maharashtra,16026, Dhule ,"109,785 ","103,957 ","4,390 ",37 ,49 ,357 ,995 ,"298,915 ","211,375 ","79,818 ",930 ,839 ,780 ,"5,173 "
Maharashtra,16027, Garhchiroli ,"26,810 ","24,304 ","2,128 ",34 ,38 ,28 ,278 ,"218,935 ","121,155 ","87,864 ","3,511 ",759 ,555 ,"5,091 "
Maharashtra,16028, Gondiya ,"47,629 ","43,729 ","3,159 ",44 ,102 ,96 ,499 ,"241,802 ","196,252 ","42,112 ",233 ,746 ,287 ,"2,172 "
Maharashtra,16030, Hingoli ,"31,898 ","29,492 ","1,906 ",43 ,24 ,106 ,327 ,"195,143 ","129,622 ","59,861 ",296 ,736 ,"1,353 ","3,275 "
Maharashtra,16031, Jalgaon ,"273,343 ","257,140 ","11,368 ",138 ,342 ,"1,251 ","3,104 ","618,314 ","463,651 ","135,013 ",989 ,"1,689 ","4,785 ","12,187 "
Maharashtra,16032, Jalna ,"69,553 ","64,941 ","3,161 ",153 ,122 ,434 ,742 ,"318,563 ","223,954 ","85,705 ",609 ,"1,055 ","2,721 ","4,519 "
Maharashtra,16033, Kolhapur ,"264,855 ","257,241 ","6,500 ",137 ,128 ,200 ,649 ,"556,628 ","512,764 ","39,266 ","1,005 ",416 ,555 ,"2,622 "
Maharashtra,16034, Latur ,"114,291 ","107,995 ","5,070 ",131 ,134 ,152 ,809 ,"359,858 ","273,727 ","78,531 ",431 ,"1,016 ","1,619 ","4,534 "
Maharashtra,16035, Nagpur ,"671,240 ","650,026 ","15,899 ",304 ,494 ,"1,267 ","3,250 ","324,568 ","267,600 ","50,929 ",569 ,787 ,"1,103 ","3,580 "
Maharashtra,16036, Nanded ,"168,679 ","156,365 ","9,130 ",175 ,262 ,631 ,"2,116 ","487,624 ","332,383 ","138,190 ","1,060 ","1,683 ","4,691 ","9,617 "
Maharashtra,16037, Nandurbar ,"49,090 ","43,498 ","4,289 ",52 ,100 ,163 ,988 ,"270,533 ","142,704 ","99,967 ","18,438 ",950 ,"1,866 ","6,608 "
Maharashtra,16038, Nashik ,"518,316 ","493,558 ","20,004 ",593 ,613 ,"1,531 ","2,017 ","661,977 ","411,152 ","237,837 ","2,837 ","2,083 ","1,395 ","6,673 "
Maharashtra,16039, Osmanabad ,"53,944 ","48,434 ","4,658 ",64 ,122 ,160 ,506 ,"294,816 ","191,608 ","94,129 ",426 ,"1,416 ","1,057 ","6,180 "
Maharashtra,16040, Parbhani ,"104,123 ","94,466 ","6,716 ",218 ,179 ,587 ,"1,957 ","256,063 ","178,020 ","67,735 ",482 ,"1,216 ","3,424 ","5,186 "
Maharashtra,16041, Pune ,"1,332,493 ","1,305,259 ","22,764 ",580 ,597 ,951 ,"2,342 ","744,114 ","619,760 ","112,020 ","1,277 ","1,827 ","1,219 ","8,011 "
Maharashtra,16043, Ratnagiri ,"59,734 ","57,560 ","1,852 ",52 ,86 ,44 ,140 ,"333,645 ","309,792 ","21,198 ",611 ,257 ,175 ,"1,612 "
